City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,ozgon,40.7708,73.2978,277.72,67,96,0.91,Asia/Bishkek,1675896062
259,saint-philippe,45.3584,-73.479,276.2,68,100,6.17,America/Toronto,1675896064
260,tumannyy,12.0,12.0,306.99,21,37,4.17,Africa/Lagos,1675896066
261,ahipara,-35.1664,173.1562,294.27,61,17,4.94,Pacific/Auckland,1675896067
262,keuruu,62.258,24.7084,274.49,91,100,6.35,Europe/Helsinki,1675896069
263,sungaipenuh,12.0,12.0,306.99,21,37,4.17,Africa/Lagos,1675896066
264,irpa irpa,-17.7217,-66.2862,293.78,84,100,0.73,America/La_Paz,1675896072
265,hualmay,-11.0967,-77.6129,299.12,75,63,5.0,America/Lima,1675896073
266,harper,41.3625,-92.051,280.47,54,84,3.16,America/Chicago,1675896075
267,druzhba,52.0477,33.9429,270.77,95,65,2.97,Europe/Kiev,1675896077
268,benghazi,32.1061,20.0667,290.26,73,94,12.42,Africa/Tripoli,1675896079
269,banda aceh,5.5528,95.3193,302.49,81,98,2.47,Asia/Jakarta,1675896080
270,bambous virieux,-20.3472,57.7647,300.34,83,75,3.6,Indian/Mauritius,1675896082
271,filadelfia,39.9527,-75.1635,284.32,50,75,4.63,America/New_York,1675896084
272,saint george,12.0535,-61.7518,299.22,94,75,6.17,America/Grenada,1675896086
273,sur,33.2721,35.1964,284.39,56,67,1.87,Asia/Beirut,1675896088
274,nortelandia,-14.4519,-56.8044,305.94,97,97,1.5,America/Cuiaba,1675896090
275,tiksi,71.6366,128.8685,233.59,97,49,2.51,Asia/Yakutsk,1675896092
276,port lincoln,-34.7212,135.8592,301.8,61,0,5.49,Australia/Adelaide,1675896093
277,miles city,46.4085,-105.841,279.69,49,0,8.75,America/Denver,1675896095
278,vanimo,-2.6848,141.3009,299.08,92,100,7.75,Pacific/Port_Moresby,1675896097
279,lodja,-3.5242,23.5995,307.42,97,100,1.08,Africa/Lubumbashi,1675896098
280,tasiilaq,65.6153,-37.6378,258.43,52,1,4.26,America/Nuuk,1675896099
281,rondonopolis,-16.4604,-54.6397,304.52,87,53,1.41,America/Cuiaba,1675896101
282,nabire,-3.3603,135.5024,299.7,89,100,1.43,Asia/Jayapura,1675896102
283,yakeshi,49.3212,121.2781,262.79,100,91,1.7,Asia/Shanghai,1675896103
284,manta,44.6159,7.487,276.83,64,75,0.51,Europe/Rome,1675896104
285,alta floresta,-9.8699,-56.0835,301.6,92,91,0.35,America/Cuiaba,1675896105
286,labuhan,-6.892,112.9897,301.48,86,100,3.93,Asia/Jakarta,1675896107
287,ostrovnoy,68.0544,39.5129,274.84,82,100,17.09,Europe/Moscow,1675896108
288,barrow,71.2906,-156.7886,251.16,71,100,3.09,America/Anchorage,1675896109
289,eirunepe,-6.6568,-69.8662,297.96,99,100,0.58,America/Eirunepe,1675896111
290,sorvag,68.0369,15.3885,279.9,95,100,10.5,Europe/Oslo,1675896112
291,lindi,-9.9989,39.7137,300.91,97,100,0.99,Africa/Dar_es_Salaam,1675896113
292,valle de allende,26.9369,-105.393,288.02,15,0,2.57,America/Chihuahua,1675896114
